# no error		with error			ScaLAPACK QR	FT-QR (no failure)	FT-QR (with failure)		FT-QR (no failure)	FT-QR (with failure)
6000	400	800	2.451085	1.409277	3.600799	204.3601081	117.4989851	79.98224838	42.50395233	60.86210311
8000	500	1000	3.699563	2.875755	4.717381	237.3869355	184.5262986	144.7130657	22.26771108	39.03916177
10000	700	1300	5.827058	4.061535	7.692543	328.2831081	228.817584	173.3280312	30.29870305	47.2016601
12000	800	1500	8.954661	6.842713	10.382091	336.708554	257.2961724	221.9206131	23.58490176	34.09118645
14000	900	1800	12.243174	8.934358	13.84846	409.5052679	298.8331838	264.1930342	27.0258023	35.48482647
16000	1000	2000	16.238431	13.741605	17.363366	397.4305282	336.3214915	314.5319481	15.37602986	20.85863421
18000	1200	2300	21.589074	17.991829	23.302918	432.1961931	360.1821922	333.6921153	16.6623404	22.79151907
20000	1300	2500	26.732649	21.233254	29.427406	502.356665	399.0127079	362.4739016	20.5718296	27.84530855
22000	1400	2800	32.272232	26.292203	35.56121	539.9826456	439.9241222	399.2365089	18.52995169	26.06493705
24000	1500	3000	39.494854	33.489344	42.98142	550.3840266	466.6937115	428.83646	15.20580377	22.08413775
26000	1700	3300	49.036472	42.239239	51.39214	554.8079753	477.9027877	455.9970974	13.86158654	17.80992385
28000	1800	3500	58.488078	48.276486	60.847942	606.2854975	500.4324699	481.0242117	17.45927093	20.66044567
30000	1900	3800	66.026209	56.733563	71.423155	634.5450223	545.2380281	504.0382212	14.07417773	20.56698839
32000	2000	4000	79.2013		67.13152	83.93939	650.8219487	551.6407769	520.5025515	15.23937107	20.02381719
34000	2200	4300	93.613463	78.185887	99.280115	670.2658925	559.80552	527.8532698	16.48008257	21.24718329
36000	2300	4500	109.029079	91.624223	113.79583	678.9470946	570.5633815	546.6632653	15.96349906	19.48367264
38000	2400	4800	121.8838	105.484841	127.20814	693.5846513	600.2657176	575.1413916	13.45458461	17.07697243
40000	2500	5000	136.633683	117.810039	144.691214	724.3298963	624.5409731	589.7616792	13.77672298	18.57830497
42000	2700	5300	157.077406	134.022729	164.071717	737.0690086	628.8873907	602.0781754	14.67727128	18.31454473
44000	2800	5500	175.280241	152.603847	186.044696	744.2713202	647.9832868	610.4912911	12.93722206	17.97463175
46000	2900	5800	197.821824	170.596557	205.182381	760.7500152	656.0516464	632.5169476	13.76251945	16.85613737
48000	3000	6000	220.986119	190.973596	236.160782	772.127682	667.2636303	624.3881764	13.58118018	19.13407705
50000	3200	6300	248.977895	216.219094	260.691929	770.8230739	669.4034692	639.3242296	13.15731302	17.05953658
